|-72.9|40.74284|Number Null|Number Null
LS|91321|Whitefish Bay (U.S. Portion)/Whitefish Point to Point Iroquois MI|-84.8407|46.6226
LS|91322|St. Marys River Point Iroquois to E. Potagannissing Bay|-84.1064|46.2567
LM|92043|New Buffalo MI to St Joseph MI|-86.6659|41.9712
LM|92046|Michigan City IN to New Buffalo MI|-86.8617|41.8036
LM|92080|Lake Michigan Michigan City IN to St. Joseph MI 5 NM off shore to Mid Lake|-86.794|41.9671
LM|92221|Green Bay North of line from Cedar River MI to Rock Island Passage|-86.9427|45.6582
LM|92248|Seul Choix Point to Point Detour MI|-86.2631|45.7622
LM|92250|5NM East of a line from Fairport MI to Rock Island Passage|-86.6585|45.4938
LM|92261|Lake Michigan from Seul Choix Point to Rock Island Passage 5NM off shore to the Mid Line of the Lake|-86.3086|45.6088
LM|92323|Grand Traverse Bay south of a line Grand Traverse Light to Norwood MI|-85.561|44.9831
LM|92341|Seul Choix Point to 5NM West of Mackinac Bridge|-85.714|45.9582
LM|92342|Norwood MI to 5NM West of Mackinac Bridge including Little Traverse Bay|-85.1954|45.5269
LM|92344|Sleeping Bear Point to Grand Traverse Light MI|-85.7821|45.1011
LM|92345|Point Betsie to Sleeping Bear Point MI|-86.1389|44.8463
LM|92346|Manistee to Point Betsie MI|-86.3324|44.4761
LM|92362|Lake Michigan South of a line from Seul Choix Point to the Mackinac Bridge and North of a line from Charlevoix MI to South Fox Island 5NM off shore|-85.6276|45.6507
LM|92364|Lake Michigan from Charlevoix to Point Betsie MI 5NM off shore to Mid Lake|-86.123|45.0189
LM|92366|Lake Michigan from Point Betsie to Manistee MI 5NM off shore to Mid Lake|-86.6591|44.4701
LM|92521|Green Bay south of line from  Cedar River to Rock Island Passage and north of a line from Oconto WI to Little Sturgeon Bay WI|-87.3929|45.1121
LM|92522|Green Bay south of line from  Oconto WI to Little Sturgeon Bay WI|-87.7871|44.7085
LM|92541|Rock Island Passage to Sturgeon Bay WI|-87.0115|45.0813
LM|92542|Sturgeon Bay to Two Rivers WI|-87.3659|44.4887
LM|92543|Two Rivers to Sheboygan WI|-87.6371|43.9525
LM|92563|Lake Michigan from Rock Island Passage to Sturgeon Bay WI 5NM off shore to mid lake|-86.7321|45.044
LM|92565|Lake Michigan from Sturgeon Bay to Two Rivers WI 5NM off shore to Mid Lake|-87.0843|44.4555
LM|92567|Lake Michigan from Two Rivers to Sheboygan WI 5NM off shore to Mid Lake|-87.2856|43.9844
LM|92643|Sheboygan to Port Washington WI|-87.7181|43.5538
LM|92644|Port Washington to North Point Light WI|-87.8208|43.2287
LM|92645|North Point Light to Wind Point WI|-87.7655|42.9281
LM|92646|Wind Point WI to Winthrop Harbor IL|-87.7223|42.6374
LM|92669|Lake Michigan from Sheboygan to Port Washington WI 5NM off shore to Mid Lake|-87.4275|43.5601
LM|92671|Lake Michigan from Port Washington to North Point Light WI 5NM off shore to Mid Lake|-87.4393|43.2214
LM|92673|Lake Michigan from North Point Light to Wind Point WI 5NM off shore to Mid Lake|-87.4064|42.9273
LM|92675|Lake Michigan from Wind Point WI to Winthrop Harbor IL 5NM off shore to Mid Lake|-87.3527|42.6279
LM|92740|Winthrop Harbor to Wilmette Harbor IL|-87.7672|42.2758
LM|92741|Wilmette Harbor to Northerly Island IL|-87.5834|41.9777
LM|92742|Northerly Island to Calumet Harbor IL|-87.5155|41.8027
LM|92743|Calumet Harbor IL to Gary IN|-87.4218|41.6955
LM|92744|Gary to Burns Harbor IN|-87.2541|41.6741
LM|92745|Burns Harbor to Michigan City IN|-87.0406|41.7221
LM|92777|Lake Michigan from Winthrop Harbor to Wilmette Harbor IL 5NM off shore to Mid Lake|-87.3389|42.2899
LM|92779|Lake Michigan from Wilmette Harbor to Michigan City in 5NM off shore to Mid Lake|-87.2658|41.9176
LM|92844|St Joseph to South Haven MI|-86.4569|42.2763
LM|92845|South Haven to Holland MI|-86.3053|42.5889
LM|92846|Holland to Grand Haven MI|-86.2973|42.9119
LM|92847|Grand Haven to Whitehall MI|-86.3567|43.224
LM|92848|Whitehall to Pentwater MI|-86.5342|43.59
LM|92849|Pentwater to Manistee MI|-86.5739|44.0328
LM|92868|Lake Michigan from Pentwater to Manistee MI 5NM off shore to Mid Lake|-86.7825|44.0265
LM|92870|Lake Michigan from Whitehall to Pentwater MI 5NM off shore to Mid Lake|-86.8554|43.5802
LM|92872|Lake Michigan from Grand Haven to Whitehall MI 5NM off shore to Mid Lake|-86.7614|43.2283
LM|92874|Lake Michigan from Holland to Grand Haven MI 5NM off shore to Mid Lake|-86.7186|42.9172
LM|92876|Lake Michigan from South Haven to Holland MI 5NM off shore to Mid lake|-86.6967|42.6166
LM|92878|Lake Michigan from St Joseph to South Haven MI 5NM off shore to Mid Lake|-86.707|42.2987
LH|93345|Straits of Mackinac within 5NM of Mackinac Bridge including Mackinac Island|-84.7135|45.8126
LH|93346|St Ignace to False Detour Channel|-84.1252|45.9447
LH|93347|5NM East of Mackinac Bridge to Presque Isle Light MI including Bois Blanc Island|-84.0762|45.5824
LH|93348|Presque Isle Light to Sturgeon Pt MI Including Thunder Bay National Marine Sanctuary|-83.3158|45.0647
LH|93349|Sturgeon Point to Alabaster MI|-83.2644|44.4466
LH|93361|Lake Huron from 5NM east of Mackinac Bridge to Presque Isle Lt  to the US/Canadian border beyond 5 NM from shore|-83.8859|45.6584
LH|93362|Lake Huron from Presque Isle Light to Sturgeon Point  MI 5NM off shore to US/Canadian border|-82.889|45.1694
LH|93363|Lake Huron from Sturgeon Point to Alabaster MI 5NM off shore to US/Canadian border|-82.8182|44.4363
LH|93421|Outer Saginaw Bay SW of Alabaster to Port Austin MI to Inner Saginaw Bay|-83.3435|44.0197
LH|93422|Inner Saginaw Bay SW of Point Au Gres to Bay Port MI|-83.6677|43.8027
LH|93441|Port Austin to Harbor Beach MI|-82.6841|43.9994
LH|93442|Harbor Beach to Port Sanilac MI|-82.5324|43.6376
LH|93443|Port Sanilac to Port Huron MI|-82.4297|43.2069
LH|93462|Lake Huron from Port Austin to Harbor Beach 5NM Off Shore to the US/Canadian border|-82.5881|44.0095
LH|93463|Lake Huron from Harbor Beach to Port Sanilac 5NM Off Shore to US/Canadian border|-82.3197|43.6376
LH|93464|Lake Huron from Port Sanilac to Port Huron 5NM Off Shore to US/Canadian border|-82.2987|43.2279
LC|94422|St. Clair River|-82.4683|42.7663
LC|94423|Detroit River|-83.1562|42.1834
LC|94460|Lake St. Clair Open Lake (U.S. Portion)|-82.7608|42.52
LE|96020|Buffalo Harbor and the Upper Niagara River|-79.0612|43.1136
LE|96040|Ripley to Dunkirk NY|-79.565|42.4305
LE|96041|Dunkirk to Buffalo NY|-79.1082|42.6948
LE|96061|Ripley to Buffalo NY extending from 5NM off shoreline to US/Canadian border|-79.4933|42.549
LE|96142|Maumee Bay to Reno Beach OH|-83.354|41.7386
LE|96143|Reno Beach to The Islands OH|-82.9439|41.6288
LE|96144|The Islands to Vermilion OH|-82.7094|41.4828
LE|96145|Vermilion to Avon Point OH|-82.1725|41.5139
LE|96146|Avon Point to Willowick OH|-81.6166|41.6117
LE|96147|Willowick to Geneva-on-the Lake OH|-81.219|41.7984
LE|96148|Geneva-on-the-Lake to Conneaut OH|-80.7492|41.964
LE|96149|Conneaut OH to Ripley NY|-80.1509|42.1547
LE|96162|Detroit River Lt. to Maumee Bay OH to Reno Beach OH beyond 5NM offshore to US/Canadian border|-83.1999|41.8574
LE|96163|Reno Beach to The Islands OH beyond 5NM off shore to US/Canadian border|-82.9152|41.7289
LE|96164|The Islands to Vermilion OH beyond 5NMm off shoreto US/Canadian border|-82.4774|41.5865
LE|96165|Vermilion to Avon Point OH beyond 5NM off shore to US/Canadian border|-82.1721|41.6872
LE|96166|Avon Point to Willowick OH beyond 5NM off shore to US/Canadian border|-81.7555|41.8226
LE|96167|Willowick to Geneva-on-the-Lake OH beyond 5NM off shoreline to US-Canadian border|-81.2311|42.0015
LE|96168|Geneva-on-the-Lake to Conneaut OH beyond 5NM off shore to US/Canadian border|-80.7515|42.1366
LE|96169|Conneaut OH to Ripley NY beyond 5NM off shore to US/Canadian border|-80.1994|42.2745
LE|96444|Michigan Waters of Lake Erie from Detroit River to North Cape MI|-83.2935|41.8929
LO|97042|Niagara River to Hamlin Beach NY|-78.7922|43.3629
LO|97043|Hamlin Beach to Sodus Bay NY|-77.4601|43.3342
LO|97044|Sodus Bay to Mexico Bay NY|-76.619|43.4429
LO|97045|Mexico Bay NY to the St. Lawrence River|-76.3558|43.861
LO|97062|Niagara River to Hamlin Beach NY beyond 5NM off shoreline to US/Canadian border|-78.6001|43.4883
LO|97063|Hamlin Beach to Sodus Bay NY beyond 5NM off shoreline to US/Canadian border|-77.4704|43.48
LO|97064|Sodus Bay to Mexico Bay NY beyond 5NM off shoreline to US/Canadian border|-76.6375|43.6047
LO|97065|Mexico Bay NY to the St. Lawrence River beyond 5NM off shoreline to US/Canadian border|-76.48|43.8217
SL|98022|St. Lawrence River above Ogdensburg NY|-75.794|44.4496
SL|98024|St. Lawrence River from Ogdensburg to St. Regis NY|-75.2258|44.8636
